trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance,entry_dt,exit_dt,running_bal,cummax,drawdown_pct
72,XAUUSD,SELL,2026-08-03 17:05:00+00:00,4034.8,4048.4474870303766,4015.693518157473,4004.775528533172,4048.4474870303766,13.647487030376496,19.10648184252709,30.02447146682829,0.04,0.02,0.02,False,False,False,5404.31,2026-08-03 19:05:00+00:00,4048.4474870303766,SL,120.0,-27.29,-27.29,0.2,-54.79,5349.52,2026-08-03 17:05:00+00:00,2026-08-03 19:05:00+00:00,5349.52,5349.52,0.0
73,NAS100,BUY,2026-08-03 20:10:00+00:00,28801.4,28679.795344794755,28983.80698280787,29044.60931041049,28679.795344794755,121.60465520524576,182.40698280786864,243.20931041049155,0.04,0.02,0.02,False,False,False,5349.52,2026-08-03 22:00:00+00:00,28821.2,EOD_EXIT,110.0,3.96,3.96,0.2,7.72,5357.24,2026-08-03 20:10:00+00:00,2026-08-03 22:00:00+00:00,5357.240000000001,5357.240000000001,0.0
74,XAUUSD,BUY,2026-08-04 15:40:00+00:00,4084.01,4069.382256633306,4104.488840713372,4116.191035406728,4084.01,14.627743366694304,20.478840713372023,32.181035406727474,0.04,0.02,0.02,True,False,True,5357.24,2026-08-04 18:30:00+00:00,4084.01,TP1_THEN_BE,170.0,40.96,0.0,0.2,40.76,5398.0,2026-08-04 15:40:00+00:00,2026-08-04 18:30:00+00:00,5398.000000000001,5398.000000000001,0.0
75,XAUUSD,BUY,2026-08-05 11:00:00+00:00,4163.97,4148.921537017299,4185.037848175783,4197.076618561943,4163.97,15.048462982701508,21.067848175782107,33.106618561943314,0.04,0.02,0.02,True,True,True,5398.0,2026-08-05 12:05:00+00:00,4197.076618561943,FULL_TP2,65.0,42.14,66.21,0.2,108.15,5506.15,2026-08-05 11:00:00+00:00,2026-08-05 12:05:00+00:00,5506.150000000001,5506.150000000001,0.0
76,NAS100,BUY,2026-08-05 11:00:00+00:00,29790.6,29700.884288114456,29925.173567828315,29970.031423771088,29790.6,89.71571188554472,134.5735678283171,179.43142377108944,0.06,0.03,0.03,True,False,True,5398.0,2026-08-05 14:30:00+00:00,29790.6,TP1_THEN_BE,210.0,40.37,0.0,0.3,40.07,5546.22,2026-08-05 11:00:00+00:00,2026-08-05 14:30:00+00:00,5546.22,5546.22,0.0
77,XAUUSD,BUY,2026-08-05 16:35:00+00:00,4243.57,4224.059950254663,4270.884069643472,4286.492109439741,4224.059950254663,19.51004974533706,27.31406964347188,42.92210943974153,0.03,0.01,0.02,False,False,False,5546.22,2026-08-05 22:00:00+00:00,4249.1,EOD_EXIT,325.0,5.53,11.06,0.15,16.44,5562.66,2026-08-05 16:35:00+00:00,2026-08-05 22:00:00+00:00,5562.66,5562.66,0.0
78,NAS100,SELL,2026-08-06 06:00:00+00:00,29446.5,29544.61048643437,29299.33427034845,29250.279027131262,29446.5,98.11048643436835,147.16572965155257,196.22097286873677,0.06,0.03,0.03,True,True,True,5562.66,2026-08-06 13:05:00+00:00,29250.279027131262,FULL_TP2,425.0,44.15,58.87,0.3,102.72,5665.38,2026-08-06 06:00:00+00:00,2026-08-06 13:05:00+00:00,5665.38,5665.38,0.0
79,NAS100,SELL,2026-08-06 15:55:00+00:00,29411.6,29527.486938323626,29237.76959251456,29179.826123352745,29527.486938323626,115.886938323627,173.8304074854405,231.773876647254,0.05,0.03,0.02,False,False,False,5665.38,2026-08-06 22:00:00+00:00,29417.7,EOD_EXIT,365.0,-1.83,-1.22,0.25,-3.3,5662.08,2026-08-06 15:55:00+00:00,2026-08-06 22:00:00+00:00,5662.08,5665.38,0.05824851995806428
80,NAS100,BUY,2026-08-07 11:05:00+00:00,29537.0,29456.895383493003,29657.156924760497,29697.209233014,29537.0,80.10461650699813,120.1569247604972,160.20923301399625,0.07,0.04,0.03,True,True,True,5662.08,2026-08-07 12:40:00+00:00,29697.209233014,FULL_TP2,95.0,48.06,48.06,0.35,95.78,5757.85,2026-08-07 11:05:00+00:00,2026-08-07 12:40:00+00:00,5757.86,5757.86,0.0
81,XAUUSD,BUY,2026-08-07 12:30:00+00:00,4359.81,4343.5878568446615,4382.521000417475,4395.498714941747,4343.5878568446615,16.222143155339165,22.71100041747483,35.68871494174616,0.03,0.01,0.02,False,False,False,5662.08,2026-08-07 13:15:00+00:00,4343.5878568446615,SL,45.0,-16.22,-32.44,0.15,-48.82,5709.04,2026-08-07 12:30:00+00:00,2026-08-07 13:15:00+00:00,5709.04,5757.86,0.8478844570725879
82,XAUUSD,BUY,2026-08-07 14:20:00+00:00,4351.25,4331.163662279325,4379.370872808945,4395.439942985485,4331.163662279325,20.0863377206751,28.120872808945137,44.18994298548522,0.03,0.01,0.02,False,False,False,5709.04,2026-08-07 16:55:00+00:00,4331.163662279325,SL,155.0,-20.09,-40.17,0.15,-60.41,5648.63,2026-08-07 14:20:00+00:00,2026-08-07 16:55:00+00:00,5648.63,5757.86,1.897058976772613
83,NAS100,BUY,2026-08-07 15:05:00+00:00,29654.5,29546.258505517068,29816.8622417244,29870.98298896587,29546.258505517068,108.2414944829336,162.3622417244004,216.4829889658672,0.05,0.03,0.02,False,False,False,5709.04,2026-08-09 22:00:00+00:00,29770.8,EOD_EXIT,3295.0,34.89,23.26,0.25,57.9,5706.53,2026-08-07 15:05:00+00:00,2026-08-09 22:00:00+00:00,5706.53,5757.86,0.8914770418176186
84,XAUUSD,BUY,2026-08-07 18:05:00+00:00,4341.87,4322.361046578503,4369.182534790095,4384.789697527292,4322.361046578503,19.5089534214963,27.31253479009482,42.919697527291866,0.03,0.01,0.02,False,False,False,5648.63,2026-08-09 22:00:00+00:00,4340.11,EOD_EXIT,3115.0,-1.76,-3.52,0.15,-5.43,5701.1,2026-08-07 18:05:00+00:00,2026-08-09 22:00:00+00:00,5701.099999999999,5757.86,0.9857829124014863
85,NAS100,BUY,2026-08-10 07:15:00+00:00,29835.7,29752.133212464872,29961.05018130269,30002.833575070254,29752.133212464872,83.566787535127,125.35018130269052,167.133575070254,0.07,0.04,0.03,False,False,False,5701.1,2026-08-10 11:45:00+00:00,29752.133212464872,SL,270.0,-33.43,-25.07,0.35,-58.85,5642.25,2026-08-10 07:15:00+00:00,2026-08-10 11:45:00+00:00,5642.249999999999,5757.86,2.0078640328177584
86,NAS100,BUY,2026-08-10 14:05:00+00:00,29779.6,29697.32359791224,29903.014603131636,29944.152804175512,29697.32359791224,82.27640208775674,123.4146031316351,164.55280417551347,0.07,0.04,0.03,False,False,False,5642.25,2026-08-10 14:55:00+00:00,29697.32359791224,SL,50.0,-32.91,-24.68,0.35,-57.94,5584.31,2026-08-10 14:05:00+00:00,2026-08-10 14:55:00+00:00,5584.3099999999995,5757.86,3.01414067031849
87,XAUUSD,BUY,2026-08-10 14:25:00+00:00,4345.39,4330.3931033035005,4366.3856553751,4378.3831727323,4345.39,14.996896696499652,20.995655375099517,32.99317273229924,0.04,0.02,0.02,True,True,True,5642.25,2026-08-10 18:30:00+00:00,4378.3831727323,FULL_TP2,245.0,41.99,65.99,0.2,107.78,5692.08,2026-08-10 14:25:00+00:00,2026-08-10 18:30:00+00:00,5692.089999999999,5757.86,1.1422646608288571
