trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance,return_pct
2,NAS100,BUY,2026-01-02 08:00:00+00:00,25484.5,25440.019082459534,25551.2213763107,25573.461835080932,25484.5,44.48091754046623,66.72137631069934,88.96183508093246,0.11,0.06,0.05,True,True,True,5000.0,2026-01-02 09:55:00+00:00,25573.461835080932,FULL_TP2,115.0,40.03,44.48,0.55,83.96,5083.96,1.6791999999999998
1,XAUUSD,BUY,2026-01-02 07:35:00+00:00,4379.87,4363.337960812272,4403.014854862818,4416.240486213,4363.337960812272,16.53203918772728,23.14485486281819,36.370486213000014,0.03,0.01,0.02,False,False,False,5000.0,2026-01-02 13:55:00+00:00,4363.337960812272,SL,380.0,-16.53,-33.06,0.15,-49.75,5034.22,-0.9950000000000001
3,NAS100,BUY,2026-01-02 14:45:00+00:00,25588.899999999998,25545.52287387794,25653.965689183085,25675.654252244116,25545.52287387794,43.37712612205858,65.06568918308787,86.75425224411715,0.12,0.06,0.06,False,False,False,5034.217625763705,2026-01-02 15:05:00+00:00,25545.52287387794,SL,20.0,-26.03,-26.03,0.6,-52.65,4981.57,-1.0458427488424846
4,XAUUSD,SELL,2026-01-02 19:55:00+00:00,4317.75,4334.291865264908,4294.591388629129,4281.357896417203,4334.291865264908,16.541865264907564,23.158611370870588,36.39210358279664,0.03,0.01,0.02,False,False,False,4981.565074417234,2026-01-02 21:00:00+00:00,4330.6,EOD_EXIT,65.0,-12.85,-25.7,0.15,-38.7,4942.87,-0.7768642870639866
5,XAUUSD,BUY,2026-01-05 14:00:00+00:00,4422.51,4406.5042995198055,4444.917980672273,4457.722541056429,4422.51,16.005700480194754,22.407980672272654,35.21254105642846,0.03,0.01,0.02,True,False,True,4942.865074417234,2026-01-05 21:00:00+00:00,4446.39,EOD_EXIT,420.0,22.41,47.76,0.15,70.02,5012.88,1.4165873222476215
6,NAS100,BUY,2026-01-05 20:40:00+00:00,25442.899999999998,25374.104939608093,25546.092590587858,25580.490120783812,25374.104939608093,68.79506039190682,103.19259058786022,137.59012078381363,0.07,0.04,0.03,False,False,False,4942.865074417234,2026-01-05 21:00:00+00:00,25430.0,EOD_EXIT,20.0,-5.16,-3.87,0.35,-9.38,5003.5,-0.1897684816150056
7,XAUUSD,BUY,2026-01-06 06:50:00+00:00,4464.83,4449.958204777363,4485.650513311692,4497.547949489802,4449.958204777363,14.871795222637168,20.820513311692032,32.717949489801775,0.03,0.01,0.02,False,False,False,5003.503055089508,2026-01-06 09:45:00+00:00,4449.958204777363,SL,175.0,-14.87,-29.74,0.15,-44.77,4958.74,-0.8947731120991413
9,NAS100,BUY,2026-01-06 14:25:00+00:00,25481.699999999997,25432.872826995186,25554.940759507215,25579.354346009623,25481.699999999997,48.827173004812366,73.24075950721854,97.65434600962473,0.1,0.05,0.05,True,True,True,4958.737669421596,2026-01-06 14:50:00+00:00,25579.354346009623,FULL_TP2,25.0,36.62,48.83,0.5,84.95,5043.69,1.7131376100786726
8,XAUUSD,BUY,2026-01-06 11:30:00+00:00,4460.86,4445.821957356684,4481.913259700642,4493.943693815294,4460.86,15.038042643315658,21.05325970064192,33.08369381529445,0.03,0.01,0.02,True,True,True,4958.737669421596,2026-01-06 18:15:00+00:00,4493.943693815294,FULL_TP2,405.0,21.05,66.17,0.15,87.07,5130.76,1.7558904262454385
10,NAS100,BUY,2026-01-06 17:10:00+00:00,25559.5,25498.441764179457,25651.087353730814,25681.61647164109,25559.5,61.05823582054388,91.58735373081582,122.11647164108776,0.08,0.04,0.04,True,False,True,5043.685222180018,2026-01-06 21:00:00+00:00,25662.8,EOD_EXIT,230.0,36.63,41.32,0.4,77.55,5208.31,1.537566215650563
11,XAUUSD,BUY,2026-01-06 20:20:00+00:00,4486.67,4471.935497322687,4507.298303748237,4519.085905890088,4471.935497322687,14.734502677312477,20.628303748237467,32.41590589008745,0.03,0.01,0.02,False,False,False,5130.755869511249,2026-01-06 21:00:00+00:00,4493.07,EOD_EXIT,40.0,6.4,12.8,0.15,19.05,5227.36,0.37129032221551955
12,XAUUSD,SELL,2026-01-07 10:25:00+00:00,4459.52,4474.431826932384,4438.643442294664,4426.713980748757,4459.52,14.911826932383219,20.876557705336506,32.806019251243086,0.04,0.02,0.02,True,True,True,5227.360811003575,2026-01-07 15:10:00+00:00,4426.713980748757,FULL_TP2,285.0,41.75,65.61,0.2,107.17,5334.53,2.0501741485762293
14,NAS100,BUY,2026-01-07 18:40:00+00:00,25818.3,25767.623812313504,25894.314281529743,25919.65237537299,25767.623812313504,50.67618768649497,76.01428152974245,101.35237537298994,0.11,0.06,0.05,False,False,False,5334.525964916734,2026-01-07 19:10:00+00:00,25767.623812313504,SL,30.0,-30.41,-25.34,0.55,-56.29,5278.23,-1.0552015374974113
13,XAUUSD,SELL,2026-01-07 17:55:00+00:00,4451.57,4468.072372822951,4428.466678047867,4415.264779789506,4468.072372822951,16.502372822951607,23.103321952132248,36.30522021049354,0.03,0.01,0.02,False,False,False,5334.525964916734,2026-01-07 21:00:00+00:00,4453.31,EOD_EXIT,185.0,-1.74,-3.48,0.15,-5.37,5272.86,-0.10066498945391898
16,NAS100,SELL,2026-01-08 12:05:00+00:00,25601.0,25651.29265803454,25525.56101294819,25500.414683930918,25651.29265803454,50.292658034540224,75.43898705181033,100.58531606908045,0.1,0.05,0.05,False,False,False,5272.862158461588,2026-01-08 13:20:00+00:00,25651.29265803454,SL,75.0,-25.15,-25.15,0.5,-50.79,5222.07,-0.9632339794526036
17,NAS100,SELL,2026-01-08 14:30:00+00:00,25553.9,25603.68346534611,25479.22480198084,25454.333069307784,25553.9,49.783465346108564,74.67519801916285,99.56693069221713,0.1,0.05,0.05,True,True,True,5222.069500427047,2026-01-08 14:45:00+00:00,25454.333069307784,FULL_TP2,15.0,37.34,49.78,0.5,86.62,5308.69,1.658729359938937
