trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
1,XAGUSD,BUY,2026-01-02 06:50:00+00:00,73.918,72.49543379609186,76.19410592625304,77.33215888937957,72.49543379609186,1.4225662039081528,2.2761059262530448,3.4141588893795665,0.01,0.01,0.0,False,False,False,5000.0,2026-01-02 15:00:00+00:00,72.49543379609186,490.0,SL,0.0,0.0,0.05,-50.05,4949.95
2,XAGUSD,BUY,2026-01-05 12:30:00+00:00,75.568,74.51759424847327,77.24864920244276,78.08897380366413,75.568,1.0504057515267247,1.6806492024427595,2.520973803664139,0.01,0.01,0.0,True,False,False,4949.95,2026-01-06 02:10:00+00:00,78.08897380366413,820.0,FULL_TP2,84.03,0.0,0.05,83.98,5033.93
3,XAGUSD,BUY,2026-01-06 10:25:00+00:00,78.067,76.88423262663952,79.95942779737676,80.90564169606516,78.067,1.1827673733604835,1.8924277973767738,2.8386416960651606,0.01,0.01,0.0,True,False,False,5033.93,2026-01-06 16:25:00+00:00,80.90564169606516,360.0,FULL_TP2,94.62,0.0,0.05,94.57,5128.5
4,XAGUSD,BUY,2026-01-06 19:40:00+00:00,80.738,79.4379326140062,82.81810781759009,83.85816172638512,79.4379326140062,1.3000673859938023,2.080107817590084,3.1201617263851253,0.01,0.01,0.0,False,False,False,5128.5,2026-01-07 04:30:00+00:00,79.4379326140062,530.0,SL,0.0,0.0,0.05,-50.05,5078.45
5,XAGUSD,SELL,2026-01-07 10:30:00+00:00,79.312,80.78793155610529,76.95050951023153,75.76976426534729,79.312,1.4759315561052941,2.3614904897684705,3.542235734652706,0.01,0.01,0.0,True,False,False,5078.45,2026-01-08 04:40:00+00:00,75.76976426534729,1090.0,FULL_TP2,118.07,0.0,0.05,118.02,5196.48
6,XAGUSD,SELL,2026-01-08 10:05:00+00:00,75.647,77.03497624562772,73.42623800699567,72.31585701049352,77.03497624562772,1.3879762456277052,2.2207619930043285,3.331142989506492,0.01,0.01,0.0,False,False,False,5196.48,2026-01-08 20:00:00+00:00,77.03497624562772,595.0,SL,0.0,0.0,0.05,-50.05,5146.43
7,XAGUSD,BUY,2026-01-09 11:00:00+00:00,78.172,77.06994661509506,79.93528541584789,80.81692812377185,78.172,1.102053384904935,1.763285415847896,2.644928123771844,0.01,0.01,0.0,True,False,False,5146.43,2026-01-11 22:10:00+00:00,80.81692812377185,3550.0,FULL_TP2,88.16,0.0,0.05,88.11,5234.54
8,XAGUSD,BUY,2026-01-12 07:00:00+00:00,84.308,82.97305069897946,86.44391888163288,87.51187832244932,84.308,1.3349493010205473,2.135918881632876,3.2038783224493135,0.01,0.01,0.0,True,False,False,5234.54,2026-01-13 12:40:00+00:00,87.51187832244932,1780.0,FULL_TP2,106.8,0.0,0.05,106.75,5341.29
9,XAGUSD,BUY,2026-01-14 08:05:00+00:00,90.12,88.522040137697,92.6767357796848,93.9551036695272,90.12,1.5979598623029985,2.556735779684798,3.835103669527196,0.01,0.01,0.0,True,False,False,5341.29,2026-01-15 00:25:00+00:00,90.12,980.0,TP1_THEN_BE,127.84,0.0,0.05,127.79,5469.08
10,XAGUSD,BUY,2026-01-15 11:40:00+00:00,91.207,89.14039526357212,94.5135675782846,96.16685136742689,89.14039526357212,2.0666047364278723,3.306567578284596,4.959851367426894,0.01,0.01,0.0,False,False,False,5469.08,2026-01-15 12:25:00+00:00,89.14039526357212,45.0,SL,0.0,0.0,0.05,-50.05,5419.03
11,XAGUSD,BUY,2026-01-15 20:10:00+00:00,92.309,90.25347308242992,95.59784306811211,97.24226460216818,90.25347308242992,2.055526917570073,3.2888430681121172,4.933264602168175,0.01,0.01,0.0,False,False,False,5419.03,2026-01-15 22:30:00+00:00,90.25347308242992,140.0,SL,0.0,0.0,0.05,-50.05,5368.98
12,XAGUSD,BUY,2026-01-16 06:35:00+00:00,91.038,89.03296244560816,94.24606008702692,95.85009013054038,89.03296244560816,2.005037554391829,3.2080600870269267,4.81209013054039,0.01,0.01,0.0,False,False,False,5368.98,2026-01-16 12:00:00+00:00,89.03296244560816,325.0,SL,0.0,0.0,0.05,-50.05,5318.93
13,XAGUSD,SELL,2026-01-16 14:20:00+00:00,88.265,90.17423966872249,85.21021653004401,83.68282479506601,90.17423966872249,1.9092396687224955,3.054783469955993,4.582175204933989,0.01,0.01,0.0,False,False,False,5318.93,2026-01-18 22:00:00+00:00,90.17423966872249,3340.0,SL,0.0,0.0,0.05,-50.05,5268.88
14,XAGUSD,BUY,2026-01-20 06:10:00+00:00,94.321,93.10585606382013,96.26523029788778,97.23734544683168,93.10585606382013,1.2151439361798684,1.9442302978877894,2.916345446831684,0.01,0.01,0.0,False,False,False,5268.88,2026-01-20 14:35:00+00:00,93.10585606382013,505.0,SL,0.0,0.0,0.05,-50.05,5218.83
15,XAGUSD,SELL,2026-01-21 18:25:00+00:00,92.05,93.44266809769074,89.8217310436948,88.7075965655422,93.44266809769074,1.3926680976907473,2.228268956305196,3.3424034344577933,0.01,0.01,0.0,False,False,False,5218.83,2026-01-22 04:00:00+00:00,93.44266809769074,575.0,SL,0.0,0.0,0.05,-50.05,5168.78
16,XAGUSD,BUY,2026-01-22 08:00:00+00:00,94.196,92.77248013131353,96.47363178989835,97.61244768484751,94.196,1.4235198686864652,2.2776317898983445,3.4164476848475163,0.01,0.01,0.0,True,False,False,5168.78,2026-01-23 00:15:00+00:00,97.61244768484751,975.0,FULL_TP2,113.88,0.0,0.05,113.83,5282.61
17,XAGUSD,BUY,2026-01-26 11:00:00+00:00,109.647,107.73174280921648,112.71141150525365,114.24361725788046,109.647,1.9152571907835245,3.0644115052536396,4.5966172578804585,0.01,0.01,0.0,True,False,False,5282.61,2026-01-26 15:55:00+00:00,114.24361725788046,295.0,FULL_TP2,153.22,0.0,0.05,153.17,5435.78
18,XAGUSD,BUY,2026-01-27 12:10:00+00:00,112.891,109.42314709492899,118.43956464811363,121.21384697217044,109.42314709492899,3.4678529050710183,5.548564648113629,8.322846972170444,0.01,0.01,0.0,False,False,False,5435.78,2026-01-27 13:10:00+00:00,109.42314709492899,60.0,SL,0.0,0.0,0.05,-50.05,5385.73
