trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,net_pnl,ending_balance,entry_dt,month
1,USDJPY,BUY,2026-01-02 07:05:00+00:00,156.963,156.82335623238345,157.15850127466317,157.27021628875642,156.82335623238345,0.13964376761655492,0.19550127466317688,0.3072162887564209,0.55,0.28,0.27,False,False,5000.0,2026-01-02 08:10:00+00:00,156.82335623238345,65.0,SL,-52.75,4947.25,2026-01-02 07:05:00+00:00,2026-01
2,USDJPY,BUY,2026-01-02 10:20:00+00:00,156.902,156.76029141492216,157.10039201910897,157.21375888717122,156.76029141492216,0.14170858507783254,0.19839201910896556,0.3117588871712316,0.54,0.27,0.27,False,False,4947.25,2026-01-02 14:00:00+00:00,156.76029141492216,220.0,SL,-52.7,4894.55,2026-01-02 10:20:00+00:00,2026-01
3,USDJPY,BUY,2026-01-02 19:30:00+00:00,156.882,156.7329505513206,157.09066922815117,157.2099087870947,156.7329505513206,0.14904944867940403,0.20866922815116565,0.3279087870946889,0.51,0.26,0.25,False,False,4894.55,2026-01-04 21:05:00+00:00,156.7329505513206,2975.0,SL,-52.55,4842.0,2026-01-02 19:30:00+00:00,2026-01
4,USDJPY,SELL,2026-01-06 06:00:00+00:00,156.238,156.42570225047942,155.9752168493288,155.82505504894527,156.42570225047942,0.18770225047942135,0.26278315067118985,0.412944951054727,0.41,0.2,0.21,False,False,4842.0,2026-01-06 08:30:00+00:00,156.42570225047942,150.0,SL,-52.05,4789.95,2026-01-06 06:00:00+00:00,2026-01
5,USDJPY,SELL,2026-01-06 11:05:00+00:00,156.308,156.49592104979928,156.044910530281,155.89457369044155,156.49592104979928,0.18792104979929486,0.26308946971901276,0.4134263095584487,0.41,0.2,0.21,False,False,4789.95,2026-01-06 11:55:00+00:00,156.49592104979928,50.0,SL,-52.05,4737.9,2026-01-06 11:05:00+00:00,2026-01
6,USDJPY,SELL,2026-01-06 12:35:00+00:00,156.356,156.54635526052792,156.0895026352609,155.93721842683857,156.54635526052792,0.19035526052791726,0.26649736473908414,0.418781573161418,0.4,0.2,0.2,False,False,4737.9,2026-01-06 14:00:00+00:00,156.54635526052792,85.0,SL,-52.0,4685.9,2026-01-06 12:35:00+00:00,2026-01
7,USDJPY,BUY,2026-01-09 11:30:00+00:00,157.688,157.5479120660207,157.88412310757099,157.9961934547544,157.5479120660207,0.1400879339792832,0.1961231075709965,0.30819345475442306,0.55,0.28,0.27,False,False,4685.9,2026-01-09 12:20:00+00:00,157.5479120660207,50.0,SL,-52.75,4633.15,2026-01-09 11:30:00+00:00,2026-01
8,USDJPY,BUY,2026-01-09 20:35:00+00:00,157.926,157.73027111414856,158.20002044019196,158.3566035488731,157.73027111414856,0.19572888585141043,0.2740204401919746,0.430603548873103,0.39,0.2,0.19,False,False,4633.15,2026-01-11 21:05:00+00:00,158.076,2910.0,EOD_EXIT,36.16,4669.31,2026-01-09 20:35:00+00:00,2026-01
9,USDJPY,BUY,2026-01-12 10:35:00+00:00,157.911,157.71062606615698,158.19152350738025,158.35182265445468,157.71062606615698,0.20037393384303515,0.28052350738024917,0.44082265445467733,0.38,0.19,0.19,False,False,4669.31,2026-01-12 12:45:00+00:00,157.71062606615698,130.0,SL,-51.9,4617.41,2026-01-12 10:35:00+00:00,2026-01
10,USDJPY,BUY,2026-01-12 14:55:00+00:00,157.964,157.76970991450202,158.23600611969718,158.39143818809558,157.76970991450202,0.19429008549799195,0.27200611969718874,0.4274381880955823,0.4,0.2,0.2,False,False,4617.41,2026-01-12 21:05:00+00:00,158.056,370.0,EOD_EXIT,21.98,4639.39,2026-01-12 14:55:00+00:00,2026-01
11,USDJPY,BUY,2026-01-13 10:20:00+00:00,158.915,158.7182061047892,159.1905114532951,159.34794656946374,158.7182061047892,0.1967938952107935,0.27551145329511084,0.4329465694637457,0.39,0.2,0.19,False,False,4639.39,2026-01-13 12:30:00+00:00,158.7182061047892,130.0,SL,-51.95,4587.44,2026-01-13 10:20:00+00:00,2026-01
12,USDJPY,BUY,2026-01-13 17:30:00+00:00,159.071,158.86499578237974,159.35940590466836,159.52420927876457,158.86499578237974,0.20600421762026488,0.2884059046683708,0.4532092787645828,0.37,0.18,0.19,False,False,4587.44,2026-01-13 21:05:00+00:00,159.103,215.0,EOD_EXIT,5.86,4593.3,2026-01-13 17:30:00+00:00,2026-01
13,USDJPY,SELL,2026-01-14 11:00:00+00:00,158.476,158.66947008138757,158.2051418860574,158.05036582094732,158.66947008138757,0.19347008138758143,0.270858113942614,0.4256341790526792,0.4,0.2,0.2,False,False,4593.3,2026-01-14 11:10:00+00:00,158.66947008138757,10.0,SL,-52.0,4541.3,2026-01-14 11:00:00+00:00,2026-01
14,USDJPY,SELL,2026-01-15 06:40:00+00:00,158.457,158.6766210920938,158.14953047106866,157.97383359739362,158.6766210920938,0.2196210920938076,0.3074695289313306,0.4831664026063767,0.35,0.17,0.18,False,False,4541.3,2026-01-15 07:10:00+00:00,158.6766210920938,30.0,SL,-51.75,4489.55,2026-01-15 06:40:00+00:00,2026-01
15,USDJPY,SELL,2026-01-15 08:20:00+00:00,158.423,158.643703900836,158.11401453882962,157.93745141816083,158.643703900836,0.22070390083598743,0.3089854611703824,0.4855485818391724,0.35,0.17,0.18,False,False,4489.55,2026-01-15 12:30:00+00:00,158.643703900836,250.0,SL,-51.75,4437.8,2026-01-15 08:20:00+00:00,2026-01
16,USDJPY,SELL,2026-01-15 18:20:00+00:00,158.463,158.66087699791507,158.1859722029189,158.02767060458683,158.66087699791507,0.19787699791507105,0.2770277970810994,0.43532939541315635,0.39,0.2,0.19,False,False,4437.8,2026-01-15 20:05:00+00:00,158.66087699791507,105.0,SL,-51.95,4385.85,2026-01-15 18:20:00+00:00,2026-01
17,USDJPY,SELL,2026-01-16 06:20:00+00:00,158.218,158.41198233204634,157.9464247351351,157.79123886949805,158.218,0.19398233204634052,0.2715752648648767,0.4267611305019492,0.4,0.2,0.2,True,False,4385.85,2026-01-16 14:40:00+00:00,158.218,500.0,TP1_THEN_BE,33.39,4419.24,2026-01-16 06:20:00+00:00,2026-01
18,USDJPY,SELL,2026-01-16 15:25:00+00:00,158.022,158.23542758711724,157.72320137803587,157.55245930834207,158.23542758711724,0.21342758711724075,0.29879862196413703,0.46954069165792967,0.36,0.18,0.18,False,False,4419.24,2026-01-18 21:05:00+00:00,157.892,3220.0,EOD_EXIT,28.69,4447.93,2026-01-16 15:25:00+00:00,2026-01
19,USDJPY,BUY,2026-01-19 17:50:00+00:00,158.053,157.8650427318855,158.31614017536032,158.46650598985192,157.8650427318855,0.18795726811451166,0.2631401753603163,0.4135059898519257,0.41,0.2,0.21,False,False,4447.93,2026-01-19 21:05:00+00:00,158.082,195.0,EOD_EXIT,5.7,4453.62,2026-01-19 17:50:00+00:00,2026-01
20,USDJPY,BUY,2026-01-22 07:40:00+00:00,158.807,158.62520852076918,159.0615080709231,159.20694125430776,158.62520852076918,0.1817914792308033,0.2545080709231246,0.3999412543077673,0.42,0.21,0.21,False,False,4453.62,2026-01-22 08:25:00+00:00,158.62520852076918,45.0,SL,-52.1,4401.52,2026-01-22 07:40:00+00:00,2026-01
