trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,duration_m,exit_reason,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
1,XAGUSD,BUY,2026-01-02 06:50:00+00:00,73.918,72.49543379609186,76.19410592625304,77.33215888937957,72.49543379609186,1.4225662039081528,2.2761059262530448,3.4141588893795674,0.01,0.01,0.0,False,False,False,5000.0,2026-01-02 15:00:00+00:00,72.49543379609186,490.0,SL,0.0,0.0,0.05,-50.05,4949.95
2,XAGUSD,BUY,2026-01-05 12:30:00+00:00,75.568,74.51759424847327,77.24864920244276,78.08897380366413,75.568,1.0504057515267247,1.6806492024427595,2.5209738036641394,0.01,0.01,0.0,True,False,False,4949.95,2026-01-05 22:00:00+00:00,76.6,570.0,EOD_CLOSE,84.03,0.0,0.05,83.98,5033.93
3,XAGUSD,BUY,2026-01-06 10:25:00+00:00,78.067,76.88423262663952,79.95942779737676,80.90564169606516,78.067,1.1827673733604835,1.8924277973767738,2.838641696065161,0.01,0.01,0.0,True,False,False,5033.93,2026-01-06 16:25:00+00:00,80.90564169606516,360.0,FULL_TP2,94.62,0.0,0.05,94.57,5128.5
4,XAGUSD,BUY,2026-01-06 19:40:00+00:00,80.738,79.4379326140062,82.81810781759009,83.85816172638512,79.4379326140062,1.3000673859938023,2.080107817590084,3.1201617263851262,0.01,0.01,0.0,False,False,False,5128.5,2026-01-06 22:00:00+00:00,81.352,140.0,EOD_CLOSE,30.7,0.0,0.05,30.65,5159.15
5,XAGUSD,SELL,2026-01-07 10:30:00+00:00,79.312,80.78793155610529,76.95050951023153,75.76976426534729,79.312,1.4759315561052941,2.3614904897684705,3.5422357346527065,0.01,0.01,0.0,True,False,False,5159.15,2026-01-07 22:00:00+00:00,78.386,690.0,EOD_CLOSE,118.07,0.0,0.05,118.02,5277.18
6,XAGUSD,SELL,2026-01-08 10:05:00+00:00,75.647,77.03497624562772,73.42623800699567,72.31585701049352,77.03497624562772,1.3879762456277052,2.2207619930043285,3.331142989506493,0.01,0.01,0.0,False,False,False,5277.18,2026-01-08 20:00:00+00:00,77.03497624562772,595.0,SL,0.0,0.0,0.05,-50.05,5227.13
7,XAGUSD,BUY,2026-01-09 11:00:00+00:00,78.172,77.06994661509506,79.93528541584789,80.81692812377185,78.172,1.102053384904935,1.763285415847896,2.6449281237718445,0.01,0.01,0.0,True,False,False,5227.13,2026-01-11 22:00:00+00:00,80.385,3540.0,EOD_CLOSE,88.16,0.0,0.05,88.11,5315.24
8,XAGUSD,BUY,2026-01-12 07:00:00+00:00,84.308,82.97305069897946,86.44391888163288,87.51187832244932,82.97305069897946,1.3349493010205473,2.135918881632876,3.203878322449314,0.01,0.01,0.0,False,False,False,5315.24,2026-01-12 22:00:00+00:00,85.05,900.0,EOD_CLOSE,37.1,0.0,0.05,37.05,5352.29
9,XAGUSD,BUY,2026-01-13 06:40:00+00:00,85.164,83.84380575026142,87.27631079958172,88.33246619937258,85.164,1.320194249738574,2.1123107995817185,3.168466199372578,0.01,0.01,0.0,True,False,False,5352.29,2026-01-13 13:10:00+00:00,88.33246619937258,390.0,FULL_TP2,105.62,0.0,0.05,105.57,5457.86
10,XAGUSD,BUY,2026-01-14 08:05:00+00:00,90.12,88.522040137697,92.6767357796848,93.9551036695272,90.12,1.5979598623029985,2.556735779684798,3.835103669527197,0.01,0.01,0.0,True,False,False,5457.86,2026-01-14 22:00:00+00:00,92.938,835.0,EOD_CLOSE,127.84,0.0,0.05,127.79,5585.64
